Tipo;Distrito;Cuartos;Vacantes;Suites;Area;Valor;Mantenimiento;Impuesto;Valor m2;Tipo Agrupado
Casa;Lurigancho;2;0;1;100;7000.0;;;70.0;Casa
Casa;Lince;4;1;2;400;12000.0;;;30.0;Casa
Casa;Santa Anita;2;0;0;51;1500.0;50.0;;29.41;Casa
Casa;San Luis;8;3;5;259;7000.0;;;27.03;Casa
Casa;Breña;1;0;0;33;1200.0;;;36.36;Casa
Casa;Lurín;3;2;1;135;3000.0;;;22.22;Casa
Casa;San Borja;2;0;0;40;950.0;;50.0;23.75;Casa
Casa;San Miguel;4;1;1;191;4000.0;300.0;;20.94;Casa
Casa;Mi Perú;5;4;2;450;7000.0;;500.0;15.56;Casa
Casa;San Juan de Miraflores;2;1;0;59;1200.0;170.0;;20.34;Casa
Casa;Lince;3;0;0;200;2100.0;;;10.5;Casa
Casa;Chaclacayo;2;0;0;51;1000.0;;;19.61;Casa
Casa;Santa Rosa;2;0;0;70;1100.0;;;15.71;Casa
Casa;Lurigancho;2;4;1;107;9500.0;;1091.0;88.79;Casa
Casa;Jesús María;4;4;2;367;12000.0;;653.0;32.7;Casa
Casa;Chorrillos;12;5;0;500;18000.0;;1800.0;36.0;Casa
Casa;Lurín;10;0;10;300;15000.0;;220.0;50.0;Casa
Casa;Lince;2;1;2;100;1500.0;;30.0;15.0;Casa
Casa;Villa El Salvador;2;1;0;70;1900.0;580.0;25.0;27.14;Casa
Casa;Pucusana;5;3;0;260;7000.0;;163.0;26.92;Casa
Casa;Mi Perú;1;0;0;40;850.0;;;21.25;Casa
Casa;Bellavista;1;0;0;35;400.0;;;11.43;Casa
Casa;Jesús María;3;2;1;321;9000.0;1400.0;;28.04;Casa
Casa;San Luis;3;1;0;100;2100.0;250.0;;21.0;Casa
Casa;Lince;2;1;0;100;1300.0;;;13.0;Casa
Casa;Lince;2;0;0;70;1000.0;;;14.29;Casa
